
start time is: 2018-01-17 09:45:04

this experiment hyperparameters are:
config_file :/home/ubuntu/wangchen/work/Indoor/config/0117train_1.conf
learning_rate = 0.00015
batch_size = 12
num_epoches = 300
model_file :/home/ubuntu/wangchen/work/Indoor/models/stn_best_model.pkl

其余要说明的事项 ：复现左边0108trian1实验,目的是使用小的学习率打印混淆矩阵,1+2 两个place 一个image。
Epoch 187: Train cost 0.0949118211865, Train acc 0.999067164179, test acc 0.785074626866
Epoch 188: Train cost 0.0972207412124, Train acc 0.998694029851, test acc 0.785074626866
Epoch 189: Train cost 0.0959258973598, Train acc 0.998694029851, test acc 0.781343283582
Epoch 190: Train cost 0.0959308966994, Train acc 0.998694029851, test acc 0.783582089552
Epoch 191: Train cost 0.096240632236, Train acc 0.998880597015, test acc 0.790298507463
Epoch 192: Train cost 0.0963789224625, Train acc 0.998694029851, test acc 0.788059701493
Epoch 193: Train cost 0.0985580384731, Train acc 0.997947761194, test acc 0.779850746269
Epoch 194: Train cost 0.0959987789392, Train acc 0.998880597015, test acc 0.786567164179
Epoch 195: Train cost 0.0946766063571, Train acc 0.999253731343, test acc 0.790298507463
Epoch 196: Train cost 0.0975603461266, Train acc 0.997947761194, test acc 0.782835820896
Epoch 197: Train cost 0.0955058857799, Train acc 0.998694029851, test acc 0.783582089552
Epoch 198: Train cost 0.0971331223845, Train acc 0.998507462687, test acc 0.782835820896
Epoch 199: Train cost 0.0977467000484, Train acc 0.998694029851, test acc 0.780597014925
Epoch 200: Train cost 0.0957423076034, Train acc 0.998880597015, test acc 0.788059701493
Epoch 201: Train cost 0.0965754389763, Train acc 0.998134328358, test acc 0.783582089552
Epoch 202: Train cost 0.0969764962792, Train acc 0.998320895522, test acc 0.781343283582
Epoch 203: Train cost 0.0964725092053, Train acc 0.998320895522, test acc 0.789552238806
Epoch 204: Train cost 0.0949002876878, Train acc 0.999253731343, test acc 0.785820895522
Epoch 205: Train cost 0.0973902866244, Train acc 0.998320895522, test acc 0.790298507463
Epoch 206: Train cost 0.0966345965862, Train acc 0.998134328358, test acc 0.791791044776
Epoch 207: Train cost 0.0979582518339, Train acc 0.998507462687, test acc 0.770149253731
Epoch 208: Train cost 0.0949221774936, Train acc 0.999067164179, test acc 0.780597014925
Epoch 209: Train cost 0.0958099365234, Train acc 0.998694029851, test acc 0.788805970149
Epoch 210: Train cost 0.0943442285061, Train acc 0.999067164179, test acc 0.787313432836
Epoch 211: Train cost 0.0952674970031, Train acc 0.999067164179, test acc 0.782089552239
Epoch 212: Train cost 0.0959238633513, Train acc 0.998694029851, test acc 0.786567164179
Epoch 213: Train cost 0.0961852446198, Train acc 0.998880597015, test acc 0.783582089552
Epoch 214: Train cost 0.0975798815489, Train acc 0.997947761194, test acc 0.784328358209
Epoch 215: Train cost 0.0966427773237, Train acc 0.999067164179, test acc 0.780597014925
Epoch 216: Train cost 0.0952837616205, Train acc 0.999067164179, test acc 0.786567164179
Epoch 217: Train cost 0.0966986343265, Train acc 0.997947761194, test acc 0.779850746269
Epoch 218: Train cost 0.0972406193614, Train acc 0.998507462687, test acc 0.770895522388
Epoch 219: Train cost 0.0957372039557, Train acc 0.999067164179, test acc 0.776119402985
Epoch 220: Train cost 0.0959841012955, Train acc 0.998320895522, test acc 0.780597014925
Epoch 221: Train cost 0.0959976837039, Train acc 0.998320895522, test acc 0.776119402985
Epoch 222: Train cost 0.0967813432217, Train acc 0.998507462687, test acc 0.785074626866
Epoch 223: Train cost 0.0951407328248, Train acc 0.998880597015, test acc 0.788059701493
Epoch 224: Train cost 0.0943280756474, Train acc 0.999253731343, test acc 0.786567164179
